0.0742,31
0.0569,55
0.0343,77
0.0556,57
0.0012,146
0.0443,67
0.0669,41
0.0846,26
0.0661,41
0.0402,71
0.0922,23
0.0998,19
0.0013,143
0.0497,62
0.0887,24
0.0184,94
0.0689,37
0.0868,25
0.0298,80
0.0264,82
0.0108,120
0.0405,70
0.0668,41
0.0316,79
0.0102,121
0.0994,19
0.0173,102
0.0123,114
0.081,27
0.0889,24
0.0499,62
0.0411,70
0.0545,57
0.059,55
0.0786,30
0.0923,23
0.0834,26
0.0128,113
0.0562,56
0.0691,37
0.0415,70
0.022,88
0.0775,30
0.037,75
0.0928,23
0.0785,30
0.0692,36
0.0568,56
0.0248,84
0.0831,26
0.0239,85
0.03,80
0.0204,91
0.0249,84
0.0351,76
0.0909,24
0.0196,91
0.0446,67
0.0676,39
0.0783,30
0.0238,86
0.0302,80
0.0706,36
0.0743,31
0.0778,30
0.0014,143
0.0766,30
0.0875,24
0.0086,122
0.0822,27
0.0728,33
0.0398,71
0.0161,107
0.0534,58
0.0713,35
0.0175,99
0.0975,19
0.0897,24
0.0151,112
0.0813,27
0.0053,124
0.0059,123
0.0237,86
0.0153,111
0.0136,113
0.0251,84
0.0142,113
0.0977,19
0.0168,103
0.0191,91
0.0492,63
0.0403,71
0.0272,82
0.0388,73
0.0567,56
0.0378,74
0.0181,94
0.0565,56
0.0287,81
0.0501,62
0.0602,54
0.0182,94
0.0434,69
0.0266,82
0.0006,157
0.0183,94
0.0683,38
0.0869,25
0.0363,76
0.0948,21
0.0488,63
0.0912,24
0.094,22
0.0321,79
0.0444,67
0.0776,30
0.0697,36
0.01,121
0.0178,98
0.0511,60
0.0653,42
0.0045,124
0.0278,82
0.0489,63
0.093,23
0.0604,54
0.0935,23
0.0872,25
0.0684,38
0.0881,24
0.0947,21
0.0651,44
0.0966,21
0.0099,121
0.0043,124
0.0811,27
0.0932,23
0.0463,66
0.0727,33
0.0209,90
0.0242,84
0.0096,121
0.033,78
0.0418,70
0.0628,50
0.0918,24
0.0228,88
0.0218,88
0.0687,38
0.0003,158
0.0771,30
0.0995,19
0.014,113
0.0038,124
0.0673,39
0.078,30
0.0999,19
0.0227,88
0.0871,25
0.015,112
0.0172,102
0.0615,53
0.075,31
0.0495,62
0.0781,30
0.076,30
0.0904,24
0.0438,67
0.0851,26
0.0664,41
0.067,41
0.0452,67
0.0455,67
0.0337,78
0.0828,27
0.0842,26
0.0592,55
0.0754,31
0.0807,27
0.0526,59
0.0605,54
0.0749,31
0.0125,114
0.0049,124
0.0655,42
0.0274,82
0.0955,21
0.0253,84
0.0409,70
0.0549,57
0.0648,44
0.0767,30
0.0361,76
0.0972,21
0.0119,117
0.0164,105
0.0593,55
0.0034,125
0.0017,138
0.0157,109
0.0963,21
0.0091,122
0.0475,64
0.0958,21
0.0139,113
0.0141,113
0.0575,55
0.0815,27
0.0854,26
0.0416,70
0.0571,55
0.0594,55
0.0085,122
0.0241,85
0.0244,84
0.0724,33
0.0453,67
0.0873,25
0.0866,25
0.0149,113
0.0507,61
0.0233,87
0.0317,79
0.0208,91
0.0081,122
0.0101,121
0.0563,56
0.0613,53
0.0532,59
0.0496,62
0.0925,23
0.0936,23
0.0039,124
0.0093,122
0.0529,59
0.0145,113
0.0772,30
0.0406,70
0.0246,84
0.0824,27
0.016,107
0.0596,54
0.0195,91
0.0437,67
0.0055,123
0.0134,113
0.0631,48
0.0484,63
0.0804,27
0.0711,35
0.0332,78
0.0077,123
0.0286,81
0.0551,57
0.0424,69
0.0654,42
0.0255,83
0.0379,74
0.007,123
0.0296,80
0.0328,78
0.0745,31
0.027,82
0.0257,82
0.0801,28
0.0905,24
0.0959,21
0.0626,50
0.0334,78
0.0471,65
0.0612,53
0.0295,80
0.0362,76
0.0528,59
0.045,67
0.0906,24
0.0513,59
0.0795,29
0.0636,48
0.0152,111
0.0546,57
0.0614,53
0.0401,71
0.077,30
0.0878,24
0.0009,152
0.0894,24
0.0309,80
0.099,19
0.0946,21
0.0635,48
0.0051,124
0.097,21
0.0308,80
0.0634,48
0.0647,44
0.0469,65
0.0976,19
0.0036,125
0.0705,36
0.006,123
0.0056,123
0.0856,26
0.0522,59
0.0382,74
0.0685,38
0.0527,59
0.0837,26
0.0087,122
0.0479,63
0.0588,55
0.0858,26
0.0965,21
0.0758,31
0.025,84
0.0589,55
0.071,35
0.032,79
0.0957,21
0.0821,27
0.0949,21
0.0677,39
0.0968,21
0.0292,81
0.0118,117
0.0517,59
0.0354,76
0.0825,27
0.0104,120
0.0456,67
0.0746,31
0.0044,124
0.0263,82
0.0217,88
0.0445,67
0.0493,62
0.0915,24
